batter,batter_id,pa,xwoba,xba,xslg,avg_ev,hardhit_rate,batter_score
Gavin Sheets,657757,94,0.3408314073170732,0.3353140243902439,0.4647881097560976,85.31379310344828,0.13829787234042554,0.4310691650289686
George Springer,543807,115,0.4524288344477283,0.4614703032970718,0.7634126663732209,82.57692307692308,0.08695652173913043,0.8952659769373911
George Valera,671655,55,0.234648705400982,0.2489734042553191,0.46952127659574466,83.51666666666667,0.05454545454545454,-0.3259311836025957
Geraldo Perdomo,672695,118,0.33822789806107045,0.379760017598856,0.5965291866028708,82.4972972972973,0.0847457627118644,0.3013983795890521
Giancarlo Stanton,519317,96,0.44133330555555556,0.4436621794871795,1.1546108974358975,87.08076923076922,0.09375,1.2724336300637384
Gleyber Torres,650402,100,0.09772727272727272,0.1682857142857143,0.19278571428571428,81.65625,0.03,-1.1985439196240182
Graham Pauley,688363,28,0.2959994,0.2377142857142857,0.2978571428571429,76.27777777777777,0.03571428571428571,-0.5166275885295204
Grant McCray,687529,22,0.40299850000000004,0.203,0.229,90.84,0.09090909090909091,0.37794292494338627
Griffin Conine,665052,58,0.19976666666666668,0.3035555555555556,0.4632777777777778,83.83076923076922,0.05172413793103448,-0.4040999028396001
Gunnar Henderson,683002,103,0.32143202095238094,0.29276124338624343,0.4614371693121693,84.41052631578947,0.10679611650485436,0.19858801615171304
Ha-Seong Kim,673490,84,0.22032485,0.2512666666666667,0.31506666666666666,82.27499999999999,0.08333333333333333,-0.4283928368455294
Harrison Bader,664056,71,0.08847619047619047,0.13846153846153847,0.18007692307692305,84.13076923076923,0.07042253521126761,-1.0646569215323192
Harry Ford,695670,19,0.36215625000000007,0.5189374999999999,1.2426093749999998,92.02000000000001,0.15789473684210525,1.4730273594723367
Heliot Ramos,671218,66,0.356352670995671,0.2985940992070809,0.6341476673427991,82.22222222222223,0.10606060606060606,0.38053780517562025
Henry Davis,680779,41,0.3521319230769231,0.32652615384615385,0.8021223931623931,88.06428571428572,0.12195121951219512,0.7307502185989307
Heriberto Hernández,681715,78,0.31652568421052635,0.2646,0.48352500000000004,82.23200000000001,0.0641025641025641,-0.02610044355307619
Hunter Feduccia,676439,84,0.22515641269841272,0.3233080357142857,0.4610982142857143,77.6423076923077,0.03571428571428571,-0.5329522832691007
Hunter Goodman,696100,96,0.23698493597014927,0.2238354218490879,0.462941490464345,83.21666666666667,0.08333333333333333,-0.26176516441071135
Hyeseong Kim,808975,32,0.23752436647173492,0.32451228070175436,0.6825403508771929,78.35555555555555,0.0625,-0.22634778597899996
Ian Happ,664023,105,0.27726060869565217,0.36543589743589744,0.5227692307692308,87.7375,0.09523809523809523,0.21242608625461978
Ildemaro Vargas,545121,88,0.3693851590909091,0.3766111111111111,0.48929513888888887,86.63076923076923,0.10227272727272728,0.5075525627543759
Isaac Collins,686555,25,0.3602551428571429,0.35033333333333333,0.5083333333333333,88.2,0.08,0.4423347044968739
Isaac Paredes,670623,79,0.2568405294117647,0.29507692307692307,0.3569230769230769,84.16153846153846,0.08860759493670886,-0.16236688589537035
Isiah Kiner-Falefa,643396,21,0.1844,0.22025,0.3155,85.99,0.09523809523809523,-0.43259243017236676
Iván Herrera,671056,79,0.3384599026812314,0.3412383744557329,0.5775989550072569,83.10370370370372,0.08860759493670886,0.28569371286605566
J.P. Crawford,641487,75,0.273249625,0.32680000000000003,0.3675,78.168,0.04,-0.40051566972999814
J.T. Realmuto,592663,50,0.23583313333333333,0.32033333333333336,0.37722222222222224,85.85882352941177,0.1,-0.11322376293637863
JJ Bleday,668709,30,0.35641616161616163,0.39747012987012986,0.6962935064935066,87.02727272727272,0.1,0.6316597729740362
Jac Caglianone,695506,43,0.1861497,0.24820000000000003,0.3012,76.86,0.023255813953488372,-0.9085176046676497
Jack Suwinski,669261,54,0.2737303202764977,0.25071612903225804,0.46380967741935486,83.94117647058823,0.07407407407407407,-0.11866972367698407
Jackson Chourio,694192,105,0.4064780560146924,0.44174640280354566,0.8636535559678418,79.71463414634147,0.08571428571428572,0.7020632705074438
Jackson Holliday,702616,72,0.289323,0.2126923076923077,0.2786923076923077,81.38636363636364,0.05555555555555555,-0.36210740499840005
Jackson Merrill,701538,76,0.3317814340958606,0.3113065359477124,0.6005773488562092,84.5875,0.13157894736842105,0.432691360481103
Jacob Melton,689200,18,0.38962425,0.446,0.5545,87.8,0.1111111111111111,0.7459062216254204
Jacob Wilson,805779,73,0.2360472834008097,0.18137278106508875,0.2527455621301775,82.71578947368421,0.0410958904109589,-0.5989241245127644
Jacob Young,696285,47,0.40012886666666664,0.5984833333333334,0.9152249999999998,81.44666666666667,0.10638297872340426,0.9676300462634702
Jahmai Jones,663330,38,0.5512497272727273,0.523640625,1.067046875,92.00833333333333,0.15789473684210525,2.008011575906021
Jake Bauers,641343,50,0.4019461153846154,0.22072802197802197,0.4775155677655678,81.58333333333333,0.06,0.1960992222192055
