pitcher,pitcher_id,bf,xwoba_allowed,woba_allowed,xslg_allowed,avg_ev_allowed,hardhit_allowed_rate,k_rate,bb_rate,pitcher_score
Roki Sasaki,808963,25,0.14633673469387753,0.17857142857142858,0.5927619047619047,87.72,0.08,0.16,0.0,0.9462571087864543
Ronny Henriquez,678692,53,0.12845808333333333,0.23750000000000002,0.15985714285714286,81.44,0.018867924528301886,0.07547169811320754,0.018867924528301886,1.02475354785536
Ryan Fernandez,681676,37,0.2991519222222222,0.45,0.7645511111111111,85.08181818181818,0.10810810810810811,0.10810810810810811,0.02702702702702703,-0.029199274086004975
Ryan Helsley,664854,42,0.25145808333333336,0.20833333333333334,0.334,81.16666666666667,0.0,0.07142857142857142,0.023809523809523808,0.5236491151873265
Ryan Pepiot,686752,59,0.30843383516483514,0.28846153846153844,0.5166150793650793,80.71739130434783,0.05084745762711865,0.05084745762711865,0.01694915254237288,0.020190840935467226
Ryan Thompson,657044,31,0.36854545454545456,0.24545454545454548,0.5597777777777778,75.66666666666667,0.12903225806451613,0.06451612903225806,0.0,-0.17122176398474
Ryan Walker,676254,54,0.5049396353383458,0.5642857142857143,0.9751162387676509,89.8125,0.1111111111111111,0.05555555555555555,0.018518518518518517,-1.229220465025668
Ryan Weathers,677960,88,0.3871574168897956,0.508695652173913,0.998902793443116,84.69285714285715,0.09090909090909091,0.09090909090909091,0.022727272727272728,-0.4941419149496339
Ryan Zeferjahn,666171,42,0.36415237121212124,0.4291666666666667,0.4064507575757576,77.775,0.047619047619047616,0.023809523809523808,0.07142857142857142,-0.31509272188023807
Ryne Nelson,669194,92,0.30998326923076924,0.324,0.7488404447115385,82.475,0.09782608695652174,0.09782608695652174,0.0,0.03238986544443769
Ryne Stanek,592773,45,0.3895669619047618,0.41,0.6754200892857144,81.20952380952382,0.08888888888888889,0.022222222222222223,0.022222222222222223,-0.6159607632336812
Sam Aldegheri,691951,188,0.3949528057976381,0.45416666666666666,0.6244607660842447,82.82950819672132,0.06382978723404255,0.0425531914893617,0.0425531914893617,-0.5199273413318264
Sam Bachman,696147,57,0.3511491166827387,0.42058823529411765,0.541454918032787,89.48333333333333,0.14035087719298245,0.05263157894736842,0.03508771929824561,-0.5803498137384364
Sam Long,669674,40,0.6316347792207794,0.6863636363636364,1.0155809523809525,88.975,0.175,0.0,0.05,-2.1984001492499634
Sammy Peralta,671111,13,0.10666666666666667,0.0,0.203,73.03333333333333,0.0,0.07692307692307693,0.0,1.358688064703526
Sandy Alcantara,645261,101,0.3322976173469388,0.29464285714285715,0.47000698757763976,86.63720930232559,0.1485148514851485,0.0297029702970297,0.019801980198019802,-0.5216700997362761
Sauryn Lao,666659,26,0.1773265306122449,0.0,0.5513071428571428,85.48,0.11538461538461539,0.11538461538461539,0.0,0.5843949738355078
Scott Barlow,605130,33,0.34887325,0.175,0.51838,78.53333333333333,0.06060606060606061,0.030303030303030304,0.06060606060606061,-0.3106764376937987
Scott McGough,543518,48,0.2122782369146006,0.29545454545454547,0.4910562770562771,80.41499999999999,0.0625,0.08333333333333333,0.0,0.5606618588670572
Sean Burke,680732,80,0.24577952334943642,0.3194444444444444,0.8211291407867495,86.39500000000001,0.075,0.125,0.0125,0.29990302075667097
Sean Manaea,640455,54,0.2762004803921569,0.35833333333333334,0.508514705882353,83.37142857142858,0.09259259259259259,0.07407407407407407,0.037037037037037035,0.05597050266866537
Seranthony Domínguez,622554,40,0.260071,0.2285714285714286,0.461,81.93333333333334,0.05,0.075,0.025,0.30456852017003
Shane Baz,669358,49,0.18376606666666667,0.2,0.10677777777777778,87.68571428571428,0.04081632653061224,0.061224489795918366,0.061224489795918366,0.4957423725141291
Shane Bieber,669456,90,0.3986849141214517,0.36818181818181817,0.6684068821204372,84.93939393939394,0.1,0.03333333333333333,0.022222222222222223,-0.6915606492715463
Shane Smith,681343,165,0.21811563414634147,0.19146341463414634,0.41071874999999997,81.56984126984126,0.048484848484848485,0.09696969696969697,0.01818181818181818,0.6237910578781429
Shawn Armstrong,542888,54,0.2910454817073171,0.23750000000000002,0.40311707317073175,84.8,0.07407407407407407,0.018518518518518517,0.018518518518518517,-0.18266350785621618
Shinnosuke Ogasawara,829272,34,0.42509087647058824,0.375,0.7514411764705883,85.01111111111112,0.11764705882352941,0.058823529411764705,0.029411764705882353,-0.750047120432447
Shohei Ohtani,660271,89,0.25633333333333336,0.21428571428571427,0.5077692307692308,80.875,0.033707865168539325,0.0898876404494382,0.0,0.4943958026200548
Shota Imanaga,684007,91,0.43002922526117093,0.44999999999999996,0.7908960561109329,88.34864864864865,0.17582417582417584,0.03296703296703297,0.01098901098901099,-1.0980212995849783
Simeon Woods Richardson,680573,82,0.07921052631578947,0.04736842105263158,0.1748,84.67307692307692,0.07317073170731707,0.10975609756097561,0.0,1.2164177785353703
Slade Cecconi,677944,75,0.31751440903540895,0.36944444444444446,0.5539015894819468,80.52916666666667,0.04,0.04,0.013333333333333334,-0.051877120870638824
Sonny Gray,543243,99,0.33661635091991343,0.4160714285714286,0.691022149122807,83.80000000000001,0.0707070707070707,0.0707070707070707,0.020202020202020204,-0.1873635760405493
Spencer Bivens,702352,57,0.29358904985337236,0.3090909090909091,0.6367903225806453,80.38823529411764,0.017543859649122806,0.07017543859649122,0.03508771929824561,0.1541104983427567
Spencer Strider,675911,85,0.37676142165242166,0.39814814814814814,0.6369284210526316,89.79583333333333,0.10588235294117647,0.058823529411764705,0.03529411764705882,-0.6121229975585087
Stephen Kolek,663568,94,0.31943466766566764,0.38653846153846155,0.4560156434474617,83.44054054054054,0.09574468085106383,0.02127659574468085,0.02127659574468085,-0.3227360104451802
Steven Cruz,674444,45,0.38583484848484845,0.4272727272727273,0.7106222222222223,84.52,0.1111111111111111,0.044444444444444446,0.0,-0.5745975437710283
Steven Matz,571927,17,0.2526,0.18,0.41475,78.5625,0.11764705882352941,0.058823529411764705,0.0,0.23953138579529637
Steven Okert,595345,40,0.2685765817204301,0.16,0.4940138248847927,84.9923076923077,0.1,0.05,0.025,-0.06560278766541285
Steven Wilson,621051,21,0.5816979166666667,0.95,0.8497812499999999,81.2,0.09523809523809523,0.0,0.0,-1.4552409471620282
